university,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All,Total HE students
Anglia Ruskin University,1640,1720,2220,1140,3360,12580,5660,16075,2170,18245,21605
Aston University,1530,740,1095,1180,2275,7270,660,6125,1805,7930,10200
Bath Spa University,670,2170,2775,60,2835,5375,340,5555,160,5715,8550
The University of Bath,1955,2620,2405,2170,4575,9995,570,8320,2240,10560,15135
University of Bedfordshire,4585,2280,2550,4315,6865,11910,3495,13175,2235,15410,22275
Birkbeck College(#9),1360,4780,5165,975,6140,320,13120,12585,860,13445,19580
Birmingham City University,1895,1750,2340,1305,3645,15470,4055,17930,1595,19525,23165
The University of Birmingham,7095,4780,7280,4595,11875,17855,1335,17160,2035,19195,31070
University College Birmingham,430,90,135,385,520,3215,1255,3460,1005,4465,4985
Bishop Grosseteste University College Lincoln,110,245,330,25,355,1845,50,1900,0,1900,2255
The University of Bolton,615,830,1145,300,1445,4330,2710,6490,545,7035,8485
The Arts University College at Bournemouth,30,25,40,15,55,2750,60,2500,310,2810,2865
Bournemouth University,1510,1265,1385,1385,2770,13160,3815,15825,1155,16980,19750
The University of Bradford,1135,1465,1705,900,2605,9580,2030,9740,1865,11605,14210
The University of Brighton,1880,2530,3385,1030,4415,14530,3130,15775,1890,17665,22075
The University of Bristol,4055,1660,3380,2330,5710,12920,515,11520,1915,13435,19145
Brunel University,3890,1445,2280,3060,5340,10135,410,9020,1525,10545,15885
Buckinghamshire New University,240,560,600,200,800,5610,3365,8265,705,8970,9775
The University of Buckingham,595,30,385,240,625,1225,35,555,705,1260,1885
The University of Cambridge,6355,1370,3790,3935,7725,12020,200,10055,2165,12220,19945
The Institute of Cancer Research(#9),95,195,265,25,290,0,0,0,0,0,290
Canterbury Christ Church University,1195,2890,3865,220,4085,10295,4730,13810,1210,15020,19105
The University of Central Lancashire,1540,2980,3605,915,4520,19225,7785,24860,2150,27010,31530
Central School of Speech and Drama(#9),310,65,230,145,375,615,0,530,85,615,990
University of Chester,900,2410,3065,250,3315,8050,3855,11720,180,11900,15215
The University of Chichester,305,605,890,20,910,4025,705,4610,120,4730,5640
The City University,6220,2990,4545,4665,9210,8140,1985,7280,2850,10130,19340
Conservatoire for Dance and Drama,155,45,110,90,200,1055,0,790,265,1055,1250
Courtauld Institute of Art(#9),265,20,160,125,285,155,0,130,25,155,435
Coventry University,2780,2170,2360,2590,4950,15760,10335,22270,3825,26095,31045
Cranfield University,3405,1840,2415,2825,5240,0,0,0,0,0,5240
University for the Creative Arts,165,130,180,115,295,5340,120,4935,525,5460,5750
University of Cumbria,810,960,1650,125,1775,6285,2650,8760,175,8935,10710
De Montfort University,1175,2665,2695,1145,3840,15330,2620,16525,1425,17950,21795
University of Derby,730,2225,2625,330,2955,10550,4990,14465,1075,15540,18495
University of Durham,3170,1590,2555,2205,4760,11620,190,10295,1515,11810,16570
The University of East Anglia,3020,1680,2980,1725,4705,11315,1590,10735,2170,12905,17610
The University of East London,2705,3445,4425,1730,6155,13475,3595,14880,2190,17070,23225
Edge Hill University,685,7060,7600,145,7745,9425,5180,14475,130,14605,22350
The University of Essex,2310,900,1655,1555,3210,10040,1970,8965,3040,12005,15215
The University of Exeter,3535,980,2715,1800,4515,14080,125,11000,3200,14200,18720
University College Falmouth,190,165,310,50,360,3450,55,3360,140,3500,3860
University of Gloucestershire,675,1210,1530,350,1880,6445,750,6820,375,7195,9080
Goldsmiths College(#9),2195,1055,2075,1180,3255,4695,515,4300,910,5210,8465
The University of Greenwich,2835,2565,2690,2710,5400,15820,5220,18555,2485,21040,26445
Guildhall School of Music and Drama,195,70,140,125,265,535,0,405,130,535,800
Harper Adams University College,60,350,370,45,415,2170,3820,5750,240,5990,6405
University of Hertfordshire,2625,2965,3555,2040,5595,17535,4100,18485,3150,21635,27230
Heythrop College(#9),110,360,415,55,470,555,20,530,40,570,1045
The University of Huddersfield,1590,2720,3330,980,4310,13800,4225,16330,1700,18030,22340
The University of Hull,2320,1325,1855,1790,3645,12975,6695,17485,2185,19670,23315
"Imperial College of Science, Technology and Medicine",5445,1505,3720,3230,6950,9050,0,5650,3400,9050,16000
Institute of Education(#9),1990,3785,4715,1055,5770,135,350,480,5,485,6255
The University of Keele,815,1600,1940,475,2415,7565,675,7070,1170,8240,10655
The University of Kent,2285,1520,2155,1650,3805,14705,1800,13650,2855,16505,20310
King's College London(#9),6425,4280,6955,3750,10705,12790,2965,12850,2905,15755,26460
Kingston University,2570,2950,3715,1805,5520,18580,1955,17940,2595,20535,26055
The University of Lancaster,2335,1510,2125,1720,3845,8870,365,7285,1950,9235,13075
Leeds College of Art(#7),0,0,0,0,0,1145,30,1150,25,1175,1175
Leeds Metropolitan University,1850,2390,3045,1195,4240,19075,4670,22470,1275,23745,27985
The University of Leeds,5490,2695,4650,3535,8185,23085,1235,22070,2250,24320,32510
Leeds Trinity University College,170,480,465,180,645,2590,85,2615,55,2670,3320
The University of Leicester,3265,2695,3800,2160,5960,9835,1260,8880,2215,11095,17055
The University of Lincoln,650,1280,1435,495,1930,9210,1980,10785,405,11190,13120
Liverpool Hope University,810,1175,1685,300,1985,4890,875,5520,240,5760,7745
Liverpool John Moores University,1680,2345,3285,740,4025,17230,3200,18350,2080,20430,24455
The Liverpool Institute for Performing Arts,0,0,0,0,0,705,0,540,165,705,705
The University of Liverpool,2975,1455,2545,1885,4430,15320,2130,14720,2725,17445,21875
"University of the Arts, London",2470,905,1530,1845,3375,13245,680,8665,5260,13925,17300
London Business School(#9),1195,885,530,1550,2080,0,0,0,0,0,2080
University of London (Institutes and activities)(#9),285,160,255,190,445,0,0,0,0,0,445
London Metropolitan University,2855,2720,3365,2210,5575,14460,3245,14480,3225,17705,23280
London South Bank University,1655,3420,4205,870,5075,11535,6740,17090,1185,18275,23350
London School of Economics and Political Science(#9),5245,550,1040,4750,5790,3935,80,2220,1790,4010,9805
London School of Hygiene and Tropical Medicine(#9),740,510,630,620,1250,0,0,0,0,0,1250
Loughborough University,2465,1850,2255,2060,4315,11320,385,10425,1280,11705,16025
The Manchester Metropolitan University,2525,3900,5650,775,6425,25275,2730,26150,1855,28005,34430
The University of Manchester,8335,4190,7240,5290,12530,27150,1005,22210,5945,28155,40680
Middlesex University,2380,2795,3045,2130,5175,15405,2960,14715,3650,18365,23540
The University of Newcastle-upon-Tyne,4430,1580,3020,2990,6010,14975,65,12535,2505,15040,21055
Newman University College,305,220,510,20,530,1785,840,2590,35,2625,3150
The University of Northampton,810,1570,1775,605,2380,9280,2945,11160,1065,12225,14605
The University of Northumbria at Newcastle,2520,2550,3395,1670,5065,18925,5310,22020,2215,24235,29300
Norwich University College of the Arts,30,55,75,10,85,1550,0,1495,55,1550,1635
The University of Nottingham,7715,2780,5625,4870,10495,23515,1620,21020,4115,25135,35630
The Nottingham Trent University,2700,2455,3640,1515,5155,20585,2195,21620,1160,22780,27930
The Open University,285,12065,12225,125,12350,15,188905,188805,115,188920,201270
Oxford Brookes University,1840,2425,3125,1135,4260,11700,2465,12005,2160,14165,18425
The University of Oxford,7270,1655,3995,4930,8925,11490,5180,14545,2125,16670,25595
University College Plymouth St Mark and St John,205,390,575,20,595,2180,70,2135,115,2250,2845
The University of Plymouth,1895,2265,3000,1160,4160,21625,5315,24970,1975,26945,31105
The University of Portsmouth,1800,2220,2780,1245,4025,17300,2380,17015,2670,19685,23705
Queen Mary and Westfield College(#9),2720,940,1770,1890,3660,11195,5,8870,2330,11200,14860
Ravensbourne,75,25,70,30,100,1490,0,1365,125,1490,1595
The University of Reading,2625,1945,2735,1835,4570,8825,115,7670,1270,8940,13505
Roehampton University,1320,1155,1830,645,2475,6175,600,6275,505,6780,9255
Rose Bruford College,15,25,35,0,35,595,215,740,70,810,850
Royal Academy of Music(#9),430,0,235,195,430,325,0,195,130,325,760
Royal Agricultural College,205,15,155,70,225,940,30,880,90,970,1190
Royal College of Art,1270,45,695,620,1315,0,0,0,0,0,1315
Royal College of Music,315,20,135,200,335,385,0,230,155,385,720
Royal Holloway and Bedford New College(#9),2035,475,1225,1285,2510,6825,530,5515,1840,7355,9865
Royal Northern College of Music,285,5,170,120,290,530,0,435,95,530,820
The Royal Veterinary College(#9),230,315,465,80,545,1500,75,1380,195,1575,2120
St George's Hospital Medical School(#9),175,530,660,45,705,2395,2010,4220,190,4410,5115
"St Mary's University College, Twickenham",365,780,1040,105,1145,3450,485,3690,245,3935,5080
The University of Salford,2050,2505,3140,1415,4555,15105,2090,15125,2075,17200,21755
The School of Oriental and African Studies(#9),1885,545,1085,1345,2430,2935,35,1805,1165,2970,5400
The School of Pharmacy(#7)(#9),185,480,505,160,665,730,50,650,130,780,1445
Sheffield Hallam University,3225,5525,6330,2425,8755,22705,5705,26220,2190,28410,37160
The University of Sheffield,5425,1985,3870,3545,7415,17275,1275,15560,2990,18550,25965
Southampton Solent University,315,350,425,240,665,10275,1590,10305,1560,11865,12530
The University of Southampton,5415,1910,3845,3480,7325,16000,805,14340,2465,16805,24135
Staffordshire University,1035,2480,2730,785,3515,10895,7355,17400,845,18245,21760
University Campus Suffolk,45,250,285,10,295,3885,1675,5460,100,5560,5855
The University of Sunderland,1800,955,1370,1390,2760,9220,5405,12335,2285,14620,17380
The University of Surrey,2880,1480,2005,2355,4360,9600,1095,8445,2250,10695,15055
The University of Sussex,2830,955,1900,1885,3785,9310,35,7605,1740,9345,13130
Teesside University,1180,2100,2465,815,3280,9620,15075,23435,1260,24695,27980
Trinity Laban Conservatoire of Music and Dance,165,115,170,110,280,640,5,500,140,640,920
University College London(#7)(#9),8915,3115,6910,5120,12030,12635,860,8535,4960,13495,25525
The University of Warwick,5695,4725,5535,4885,10420,12490,4535,13115,3910,17025,27440
"University of the West of England, Bristol",1540,4445,5040,945,5985,20430,3975,22525,1880,24405,30390
The University of West London,685,720,965,440,1405,7670,3330,9000,1995,10995,12400
The University of Westminster,2480,2360,2845,1995,4840,12980,3685,13235,3430,16665,21500
The University of Winchester,210,715,855,75,930,4705,695,5010,390,5400,6330
The University of Wolverhampton,1570,2255,2700,1125,3825,12745,4935,16195,1490,17685,21510
The University of Worcester,550,1170,1565,160,1725,7240,1735,8325,650,8975,10695
Writtle College,0,0,0,0,0,940,80,915,105,1020,1020
York St John University,285,555,735,110,845,3940,1190,4920,215,5135,5975
The University of York,4260,980,2680,2560,5240,11150,1015,10475,1690,12165,17405
Total England,257260,217745,302160,172845,475005,1166610,455615,1437905,184320,1622225,2097230
Aberystwyth University,1080,720,1225,570,1795,8050,1860,8630,1280,9910,11705
Bangor University,1830,985,1725,1095,2820,7365,1070,7490,945,8435,11255
Cardiff University,3820,3315,4355,2780,7135,16245,4365,18085,2525,20610,27745
Cardiff Metropolitan University,2175,2425,1575,3025,4600,7675,730,7350,1060,8410,13005
University of Glamorgan,2130,1700,2155,1675,3830,12580,4780,15645,1715,17360,21190
Glynd?r University,850,570,595,820,1415,4395,3725,4885,3235,8120,9535
"The University of Wales, Newport",685,1260,1350,595,1945,4095,3945,7650,395,8045,9990
Swansea Metropolitan University,685,520,985,220,1205,3710,940,4170,480,4650,5855
Swansea University,1815,600,1435,980,2415,10505,1850,11165,1190,12355,14770
University of Wales Trinity Saint David,435,560,635,360,995,3080,2065,4805,335,5140,6135
Total Wales,15495,12655,16040,12110,28150,77700,25335,89875,13160,103035,131185
The University of Aberdeen,2185,1375,2210,1350,3560,10620,1335,9390,2565,11955,15515
University of Abertay Dundee,325,140,205,260,465,4245,220,3920,545,4465,4930
The University of Dundee,1700,3855,4010,1545,5555,9410,1530,9625,1320,10945,16500
Edinburgh Napier University,1350,1340,1665,1020,2685,9555,1820,9225,2150,11375,14060
The University of Edinburgh(#7),6745,1960,4300,4405,8705,18175,795,14580,4390,18970,27675
Glasgow Caledonian University,1830,1215,1795,1255,3050,10550,2520,12295,775,13070,16120
Glasgow School of Art,300,45,170,175,345,1355,20,1055,320,1375,1720
The University of Glasgow,4555,1825,3580,2805,6385,16190,3725,17480,2430,19910,26295
Heriot-Watt University,1980,2270,2530,1725,4255,6010,605,4540,2075,6615,10870
"Queen Margaret University, Edinburgh",490,1275,1290,475,1765,2780,705,2875,610,3485,5245
The Robert Gordon University,1850,2230,2270,1810,4080,7030,1585,7630,985,8615,12700
Royal Conservatoire of Scotland,170,10,100,80,180,720,0,600,120,720,895
The University of St Andrews,1640,415,835,1220,2055,6600,1200,4555,3240,7795,9850
SRUC(#8),0,55,30,25,55,840,95,900,40,940,990
The University of Stirling,2230,1065,1620,1675,3295,6700,1125,7200,625,7825,11120
The University of Strathclyde,3240,2450,4025,1660,5685,11540,2525,12915,1155,14070,19755
University of the Highlands and Islands,95,350,395,50,445,3810,2970,6525,255,6780,7225
The University of the West of Scotland,820,730,1215,335,1550,9720,3580,12790,510,13300,14845
Total Scotland,31505,22610,32240,21875,54115,135850,26360,138100,24105,162205,216320
The Queen's University of Belfast,2835,2290,3965,1155,5120,13765,4100,16965,900,17865,22985
St Mary's University College,20,125,140,5,145,865,10,850,25,875,1020
Stranmillis University College,45,95,130,15,145,890,305,1160,35,1195,1340
University of Ulster(#14),2265,3555,4120,1700,5820,16300,4440,17755,2985,20740,26560
Total Northern Ireland,5165,6070,8355,2880,11235,31820,8855,36730,3945,40675,51905
Total UK,309425,259080,358800,209705,568505,1411975,516165,1702610,225530,1928140,2496645
,,,,,,,,,,,
