university,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All,Total HE students
Cranfield University,3340,2120,2740,2720,5460,0,0,0,0,0,5460
University for the Creative Arts,270,105,205,170,375,5195,240,4880,555,5435,5810
University of Cumbria,1075,1640,2570,145,2715,5615,4080,9575,120,9695,12410
De Montfort University,1165,2905,2970,1100,4070,14915,3470,17460,925,18385,22455
University of Derby,755,2330,2660,425,3085,10700,3690,12905,1485,14390,17475
University of Durham,3075,1620,2750,1940,4690,11215,175,10310,1080,11390,16080
The University of East Anglia,2275,1360,2325,1310,3635,10275,2735,11435,1570,13005,16640
The University of East London,4315,3920,5105,3125,8230,13720,4975,16360,2340,18700,26930
Edge Hill University,900,9675,10370,205,10575,8140,6605,14400,345,14745,25320
The University of Essex,2335,1140,1775,1700,3475,8870,2135,8680,2325,11005,14480
The University of Exeter,3840,1360,3165,2040,5205,12335,180,10450,2070,12520,17720
University College Falmouth,170,160,280,50,330,2850,40,2745,145,2890,3220
University of Gloucestershire,1225,1430,2060,595,2655,5985,1080,6705,360,7065,9720
Goldsmiths College(#7),1595,865,1565,895,2460,4905,605,4770,740,5510,7970
The University of Greenwich,3680,2465,2480,3665,6145,15655,7005,19770,2890,22660,28805
Guildhall School of Music and Drama,190,80,140,130,270,515,0,385,130,515,785
Harper Adams University College,60,150,155,50,205,1820,2490,4165,145,4310,4520
University of Hertfordshire,2925,3075,3770,2230,6000,17535,4115,18635,3015,21650,27650
Heythrop College(#7),85,335,360,60,420,505,15,470,45,515,940
The University of Huddersfield,1395,2675,3310,760,4070,12380,5685,17140,925,18065,22135
The University of Hull,2165,1210,1850,1525,3375,12375,7325,17645,2055,19700,23075
"Imperial College of Science, Technology and Medicine",4950,1335,3305,2980,6285,8580,0,5550,3030,8580,14865
Institute of Education(#7),2255,4575,5505,1325,6830,150,395,520,20,540,7370
The University of Keele,790,1425,1705,510,2215,6750,1500,7680,575,8255,10470
The University of Kent,1655,1275,1955,980,2935,12915,3415,14055,2280,16335,19265
King's College London(#7),5580,3945,6190,3335,9525,12400,2570,12495,2475,14970,24500
Kingston University,3405,3325,4275,2455,6730,18270,2085,17975,2380,20355,27085
The University of Lancaster,1940,1405,2055,1290,3345,8180,600,7415,1365,8780,12125
Leeds College of Music,25,10,25,5,30,660,0,635,25,660,690
Leeds Metropolitan University,1745,2705,3205,1245,4450,17710,5710,22375,1040,23415,27865
The University of Leeds,6935,2565,5010,4495,9505,22595,1485,22160,1920,24080,33585
Leeds Trinity University College,245,335,540,45,585,2455,550,2950,55,3005,3590
The University of Leicester,3325,3740,4680,2385,7065,9185,1220,8845,1560,10405,17470
The University of Lincoln,540,1005,1270,275,1545,8415,2115,9905,625,10530,12070
Liverpool Hope University,760,1070,1495,335,1830,4505,1065,5385,190,5575,7405
Liverpool John Moores University,2035,2820,3550,1310,4860,16615,4385,19030,1970,21000,25860
The Liverpool Institute for Performing Arts,0,55,50,5,55,665,0,520,145,665,720
The University of Liverpool,2390,1605,2620,1375,3995,13950,2645,14710,1885,16595,20590
"University of the Arts, London",2360,855,1500,1715,3215,12760,450,8575,4635,13210,16425
London Business School(#7),1115,930,535,1515,2050,0,0,0,0,0,2050
University of London (Institutes and activities)(#7),265,165,275,155,430,0,0,0,0,0,430
London Metropolitan University,3295,3580,3960,2915,6875,12685,4775,14160,3300,17460,24335
London South Bank University,2010,4060,4895,1175,6070,10555,8320,17335,1540,18875,24945
London School of Economics and Political Science(#7),5030,535,1100,4460,5560,3905,95,2205,1795,4000,9560
London School of Hygiene and Tropical Medicine(#7),750,525,655,615,1270,0,0,0,0,0,1270
Loughborough University,2475,2020,2445,2050,4495,11280,495,10565,1210,11775,16275
The Manchester Metropolitan University,3210,4615,6575,1250,7825,23975,3720,25685,2010,27695,35520
The University of Manchester,7950,3755,6830,4875,11705,27105,1585,23655,5035,28690,40400
Middlesex University,2760,3280,3190,2850,6040,13460,3675,14385,2755,17140,23175
The University of Newcastle-upon-Tyne,3985,1675,3280,2380,5660,14515,75,12495,2095,14590,20250
Newman University College,55,130,175,10,185,2100,765,2825,45,2870,3050
The University of Northampton,925,1585,1845,665,2510,8170,3245,10690,725,11415,13925
The University of Northumbria at Newcastle,3125,3630,4375,2380,6755,17570,7100,22190,2485,24675,31425
Norwich University College of the Arts,15,70,75,10,85,1400,0,1380,20,1400,1485
The University of Nottingham,6880,2575,5060,4395,9455,22340,2325,20790,3875,24665,34120
The Nottingham Trent University,2135,2960,3790,1300,5090,19275,2085,20110,1255,21365,26455
The Open University,325,14080,14235,170,14405,15,195285,195180,120,195300,209705
Oxford Brookes University,1675,2405,2895,1180,4075,11410,2845,12110,2145,14255,18330
The University of Oxford,7080,1310,3795,4595,8390,11455,4625,14455,1625,16080,24465
University College Plymouth St Mark and St John,225,1660,1865,20,1885,2095,75,2035,135,2170,4055
The University of Plymouth,1340,2995,3610,730,4340,19900,7960,26210,1655,27865,32200
The University of Portsmouth,1875,2410,3020,1270,4290,15705,2200,16005,1900,17905,22195
Queen Mary and Westfield College(#7),2535,1110,1905,1735,3640,11045,40,9120,1965,11085,14725
Ravensbourne(#6),35,5,25,15,40,1175,0,1065,110,1175,1215
The University of Reading,2560,2585,3305,1840,5145,8850,485,8080,1250,9330,14480
Roehampton University,935,1600,2075,460,2535,5580,705,5950,335,6285,8820
Rose Bruford College,5,15,15,5,20,645,270,820,95,915,940
Royal Academy of Music(#7),385,0,230,155,385,330,0,210,120,330,720
Royal Agricultural College,200,10,140,70,210,760,55,745,70,815,1025
Royal College of Art,1155,50,720,485,1205,0,0,0,0,0,1205
Royal College of Music,290,25,150,165,315,360,5,235,130,365,680
Royal Holloway and Bedford New College(#7),1800,440,1185,1055,2240,6745,550,5465,1830,7295,9535
Royal Northern College of Music,210,5,115,100,215,525,0,440,85,525,740
The Royal Veterinary College(#7),240,290,440,90,530,1480,55,1395,140,1535,2065
St George's Hospital Medical School(#7),130,405,460,75,535,2335,2255,4430,160,4590,5125
"St Mary's University College, Twickenham",375,805,870,310,1180,3005,565,3360,210,3570,4750
The University of Salford,2025,2350,2790,1585,4375,14405,3050,15555,1900,17455,21830
The School of Oriental and African Studies(#7),1715,540,1040,1215,2255,2865,100,1950,1020,2970,5225
The School of Pharmacy(#7),175,500,520,155,675,700,40,625,110,735,1410
Sheffield Hallam University,3170,4865,5555,2480,8035,20820,6560,25490,1885,27375,35410
The University of Sheffield,6010,1875,4200,3685,7885,16325,1760,15895,2190,18085,25970
Southampton Solent University,420,390,455,355,810,10200,1525,10020,1710,11730,12535
The University of Southampton,4940,1790,3735,2995,6730,15165,1835,14770,2235,17005,23735
Staffordshire University,1570,2265,2525,1310,3835,10360,7030,16250,1140,17390,21225
University Campus Suffolk,25,190,210,5,215,3140,1975,5045,70,5115,5330
The University of Sunderland,2035,810,1400,1445,2845,8695,7385,13180,2905,16085,18930
The University of Surrey,3525,1700,2405,2820,5225,8865,1330,8355,1835,10190,15415
The University of Sussex,2000,940,1755,1185,2940,8310,1325,8510,1125,9635,12570
The University of Teesside,1715,2455,3075,1090,4165,8915,15550,23185,1280,24465,28630
Thames Valley University,800,1230,1405,625,2030,7865,6480,12310,2040,14350,16380
Trinity Laban Conservatoire of Music and Dance,155,80,165,70,235,650,5,505,150,655,890
University College London(#7),7500,2960,6210,4250,10460,12060,700,8725,4040,12765,23225
The University of Warwick,4700,5045,5625,4120,9745,11900,7220,15250,3870,19120,28870
"University of the West of England, Bristol",1710,4885,5630,970,6600,20135,6110,24080,2165,26245,32840
The University of Westminster,3160,3625,4135,2650,6785,12290,4885,14185,2990,17175,23960
The University of Winchester,195,1195,1330,55,1385,4150,890,4750,290,5040,6430
The University of Wolverhampton,1835,2040,2555,1320,3875,12225,6510,16765,1975,18740,22610
The University of Worcester,520,1330,1720,130,1850,5720,1975,7245,450,7695,9545
Writtle College,0,0,0,0,0,750,205,865,90,955,955
York St John University,285,610,815,80,895,3885,1095,4835,145,4980,5875
The University of York,3510,930,2405,2030,4435,9670,1160,9645,1185,10830,15265
Total England,249865,235465,315975,169360,485335,1095800,512500,1442700,165600,1608300,2093635
,,,,0,,,,,0,,
Aberystwyth University,1000,775,1270,505,1775,6840,2190,7885,1145,9030,10805
Bangor University,1690,1075,1735,1035,2770,7350,1335,7910,775,8685,11450
Cardiff University,4050,3390,4510,2930,7440,16835,3280,18010,2105,20115,27555
"University of Wales Institute, Cardiff",1325,3430,1365,3390,4755,7550,775,7345,980,8325,13080
University of Glamorgan(#12),1980,1950,2380,1550,3930,12150,4990,14870,2270,17140,21070
Glynd?r University,640,500,555,580,1135,3060,3805,4570,2295,6865,8000
"The University of Wales, Lampeter",650,470,620,500,1120,1370,850,1505,720,2225,3340
"The University of Wales, Newport",670,1170,1290,550,1840,3510,3940,7240,210,7450,9290
Swansea Metropolitan University,690,590,1085,190,1275,3560,1345,4500,410,4910,6185
Swansea University,1500,560,1230,830,2060,10245,2035,11285,995,12280,14340
Trinity University College,75,140,195,20,215,1275,1270,2500,50,2550,2765
Total Wales,14265,14050,16235,12080,28315,73750,25825,87620,11950,99570,127885
,,,,0,,,,,0,,
The University of Aberdeen,2565,1360,2415,1510,3925,10295,1315,9580,2030,11610,15535
University of Abertay Dundee,305,165,210,260,470,3385,345,3130,600,3730,4200
The University of Dundee,1810,3650,4045,1420,5465,8980,1750,9715,1015,10730,16195
Edinburgh College of Art,300,50,160,185,345,1280,50,1105,225,1330,1675
Edinburgh Napier University,1105,1390,1605,890,2495,9645,1960,9125,2480,11605,14100
The University of Edinburgh,5580,2155,4440,3295,7735,17305,655,14800,3155,17955,25690
Glasgow Caledonian University,1665,1445,1960,1150,3110,11275,3285,13625,935,14560,17670
Glasgow School of Art,275,45,185,135,320,1420,45,1090,375,1465,1785
The University of Glasgow,3630,1970,3660,1940,5600,15465,4535,18245,1755,20000,25600
Heriot-Watt University,1820,3200,2830,2190,5020,5920,360,4725,1555,6280,11295
"Queen Margaret University, Edinburgh",400,1065,990,475,1465,2915,1020,3425,515,3940,5400
The Robert Gordon University,1895,2325,2370,1855,4225,6980,2515,8345,1150,9495,13715
The Royal Scottish Academy of Music and Drama,130,35,95,70,165,625,0,545,80,625,790
The University of St Andrews,1645,335,730,1250,1980,6115,1040,4735,2420,7155,9135
Scottish Agricultural College,45,35,45,35,80,785,140,890,35,925,1005
The University of Stirling,1650,1105,1570,1185,2755,6995,1115,7385,725,8110,10870
The University of Strathclyde,3410,3140,5030,1520,6550,12260,2500,13660,1100,14760,21310
UHI Millennium Institute,90,385,435,40,475,3310,3720,6850,180,7030,7505
The University of the West of Scotland,795,945,1340,405,1745,8885,6800,14810,875,15685,17425
Total Scotland,29120,24805,34120,19805,53925,133835,33150,145785,21200,166985,220910
,,,,0,,,,,0,,
The Queen's University of Belfast,3415,2080,3995,1500,5495,13355,3855,16575,635,17210,22705
St Mary's University College,20,95,115,0,115,870,15,855,30,885,1000
Stranmillis University College,25,75,95,5,100,885,265,1120,30,1150,1250
University of Ulster,1540,3880,3775,1645,5420,15410,5205,18650,1960,20610,26030
Total Northern Ireland,5005,6130,7975,3160,11135,30515,9340,37200,2655,39855,50990
,,,,0,,,,,0,,
Total UK,298255,280450,374305,204400,578705,1333900,580810,1713305,201405,1914710,2493415
,,,,,,,,,,,
