university,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All,Total HE students
Anglia Ruskin University,1720,1465,1975,1210,3185,11710,6870,16245,2335,18580,21765
Aston University,2270,920,1340,1850,3190,7435,695,6240,1890,8130,11325
Bath Spa University,680,2595,3215,60,3275,5285,410,5540,155,5695,8970
The University of Bath,1950,3295,2950,2295,5245,9625,450,7915,2160,10075,15320
University of Bedfordshire,3600,1780,1955,3425,5380,10585,4570,12390,2765,15155,20540
Birkbeck College(#9),1235,3840,4325,750,5075,210,12535,11955,790,12745,17820
Birmingham City University,1975,2140,2680,1430,4110,15530,4315,18275,1570,19845,23955
The University of Birmingham,6740,4910,7260,4390,11650,17565,1445,17005,2005,19010,30660
University College Birmingham,380,80,95,365,460,3115,1215,3415,920,4335,4790
Bishop Grosseteste University College Lincoln,110,425,505,30,535,1715,60,1770,0,1770,2305
The University of Bolton,760,1030,1380,415,1795,4070,3375,6810,635,7445,9240
The Arts University College at Bournemouth,25,15,20,20,40,2515,95,2345,265,2610,2650
Bournemouth University,1635,1240,1495,1380,2875,12560,3355,14860,1060,15920,18795
The University of Bradford,1375,1670,1890,1160,3050,8920,1605,8705,1820,10525,13570
The University of Brighton,1510,2260,3030,740,3770,14020,3335,15495,1860,17355,21130
The University of Bristol,4140,1775,3435,2485,5920,12625,1450,12355,1715,14070,19990
Brunel University,4065,1515,2380,3200,5580,10180,455,9135,1505,10640,16220
Buckinghamshire New University,255,510,490,275,765,5205,3280,7710,775,8485,9250
The University of Buckingham,520,35,315,240,555,935,40,400,575,975,1530
The University of Cambridge(#12),6460,1635,4110,3985,8095,12015,285,10200,2100,12300,20395
The Institute of Cancer Research(#9),105,170,235,45,280,0,0,0,0,0,280
Canterbury Christ Church University,1520,2685,3955,250,4205,9240,4740,12690,1290,13980,18185
The University of Central Lancashire,1425,2775,3260,935,4195,18640,9205,25285,2560,27845,32040
Central School of Speech and Drama(#9),275,55,215,115,330,580,0,515,65,580,910
University of Chester,880,2720,3315,285,3600,7565,4235,11595,205,11800,15405
The University of Chichester,335,980,1285,30,1315,3680,715,4285,110,4395,5710
The City University,4945,2930,4280,3595,7875,7780,1850,7265,2360,9625,17500
Conservatoire for Dance and Drama,110,40,100,55,155,1030,0,785,245,1030,1185
Courtauld Institute of Art(#9),255,25,150,130,280,150,0,130,20,150,430
Coventry University,3015,2125,2230,2915,5145,14620,8050,19270,3400,22670,27810
Cranfield University,3620,2110,2720,3015,5735,0,0,0,0,0,5735
University for the Creative Arts,170,100,150,120,270,4995,200,4680,515,5195,5460
University of Cumbria,1065,1820,2745,140,2885,5700,2595,8180,110,8290,11175
De Montfort University,1360,3295,3350,1300,4650,14545,3215,16570,1190,17760,22410
University of Derby,815,2145,2550,410,2960,10490,4150,13270,1370,14640,17600
University of Durham,3155,1750,2780,2125,4905,11300,155,10220,1230,11450,16355
The University of East Anglia,2610,1905,2930,1585,4515,10730,2050,10970,1810,12780,17290
The University of East London,3750,3665,4725,2690,7415,13880,3625,14975,2530,17505,24920
Edge Hill University,805,13060,13605,260,13865,8685,5405,13860,230,14090,27955
The University of Essex,2160,965,1550,1575,3125,9455,2185,8975,2665,11640,14765
The University of Exeter,3465,1160,2875,1755,4630,13325,80,10685,2720,13405,18035
University College Falmouth,205,160,310,50,360,3160,45,3060,145,3205,3565
University of Gloucestershire,805,1565,1870,505,2375,6185,1000,6775,410,7185,9560
Goldsmiths College(#9),1945,910,1800,1055,2855,4745,560,4485,820,5305,8160
The University of Greenwich,3480,2345,2360,3465,5825,15820,6100,19130,2790,21920,27745
Guildhall School of Music and Drama,240,75,160,150,310,560,0,435,125,560,875
Harper Adams University College,60,195,205,50,255,1985,3940,5725,200,5925,6175
University of Hertfordshire,3255,2980,3840,2395,6235,17155,4310,18270,3195,21465,27700
Heythrop College(#9),105,400,440,65,505,525,15,505,35,540,1045
The University of Huddersfield,1400,2640,3195,845,4040,12340,4800,15915,1225,17140,21180
The University of Hull,2440,1400,1955,1885,3840,12715,6765,17380,2100,19480,23320
"Imperial College of Science, Technology and Medicine",4945,1365,3500,2815,6315,8865,0,5645,3220,8865,15180
Institute of Education(#9),1865,4125,5000,990,5990,140,200,330,10,340,6330
The University of Keele,1020,1880,2290,605,2895,7175,800,7130,845,7975,10870
The University of Kent,1750,1320,1880,1190,3070,13820,2060,13465,2415,15880,18950
King's College London(#9),5440,4120,6250,3315,9565,12695,3105,13010,2790,15800,25365
Kingston University,3575,3320,4355,2540,6895,18565,2140,18170,2540,20710,27600
The University of Lancaster,2085,1420,2110,1395,3505,8550,470,7495,1525,9020,12525
Leeds College of Music,15,5,15,5,20,700,0,675,25,700,720
