University,Total HE students,PG-Total-all,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,ug-total-all,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2287540,532630,226060,306570,366835,165795,1754910,1165445,589465,1602305,152600
Total England,1895825,447440,190660,256780,307085,140355,1448380,945120,503260,1320440,127940
Anglia Ruskin University(#2),26850,4160,725,3435,3290,870,22690,9695,13000,21085,1605
Aston University,8475,2315,1115,1200,1305,1010,6160,5780,380,5330,830
Bath Spa University(#2),6275,2100,770,1335,2040,65,4175,3870,305,3975,200
The University of Bath,14565,4790,1525,3265,3010,1780,9775,7855,1920,8425,1350
Birkbeck College(#3),14905,3730,710,3020,3350,380,11170,5,11165,10755,420
"Birmingham College of Food, Tourism and Creative Studies",3530,340,200,140,85,255,3190,2420,775,2575,620
The University of Birmingham,30520,11735,5500,6235,7620,4110,18785,16340,2440,17350,1435
Bishop Grosseteste College,1500,535,255,280,535,0,965,945,20,965,0
The University of Bolton(#2),7475,1505,595,915,1205,300,5965,3335,2635,5515,455
The Arts Institute at Bournemouth,1490,25,0,25,25,0,1470,1345,125,1315,155
Bournemouth University,15300,1985,1210,775,1055,925,13315,9510,3805,12595,720
The University of Bradford,12660,4110,1220,2890,2005,2105,8545,6900,1645,7160,1385
The University of Brighton,20015,4080,1555,2525,3135,945,15935,11495,4440,14220,1715
The University of Bristol,23360,7890,2620,5270,5310,2580,15470,11330,4140,14240,1230
Brunel University,15450,5260,2125,3135,2935,2325,10190,9075,1115,9345,845
Buckinghamshire Chilterns University College,9305,535,110,420,440,90,8770,5830,2940,7710,1065
The University of Buckingham,690,150,130,20,50,100,540,510,30,120,420
The University of Cambridge,25595,9435,5605,3825,5290,4140,16160,11855,4305,14615,1545
The Institute of Cancer Research,155,155,120,35,95,60,0,0,0,0,0
Canterbury Christ Church University(#2),14630,3095,1065,2030,2870,225,11535,6440,5095,11155,380
University of Central England in Birmingham,23070,3745,1180,2565,3030,715,19325,12790,6535,18325,995
The University of Central Lancashire(#4),26725,3065,1035,2030,2490,575,23660,15470,8185,21950,1710
Central School of Speech and Drama,970,500,370,130,390,110,465,465,0,435,25
University of Chester(#2),12510,2455,445,2015,2170,290,10055,6605,3445,9880,175
University of Chichester(#2),5160,1745,300,1445,1625,120,3415,2685,730,3270,145
City University,23925,9080,3290,5795,5625,3460,14845,7210,7630,12860,1985
Conservatoire for Dance and Drama,1005,50,30,15,35,15,960,950,10,725,235
Coventry University,19455,2900,1305,1595,1705,1195,16555,10555,6000,14795,1760
Courtauld Institute of Art(#3),400,270,220,50,150,120,135,135,0,115,15
Cranfield University,4600,4390,2950,1440,2635,1750,215,215,0,200,10
Cumbria Institute of the Arts,1045,40,0,40,40,0,1005,970,35,885,120
Dartington College of Arts,595,105,20,85,85,20,490,475,10,440,50
De Montfort University,22785,3795,1030,2760,3090,705,18990,14955,4040,18195,795
University of Derby,13975,2500,610,1890,2155,345,11475,8695,2780,10795,680
University of Durham,16980,5280,2590,2690,3245,2035,11700,11335,365,11065,640
The University of East Anglia,14325,3585,2130,1455,2440,1140,10740,7910,2830,10015,730
The University of East London,16360,4855,1935,2925,3370,1485,11505,8180,3320,9855,1650
Edge Hill College of Higher Education,14620,4360,640,3720,4295,65,10260,5475,4785,10180,75
The University of Essex,10830,2925,1890,1035,985,1940,7905,6260,1645,6540,1370
The University of Exeter,14570,4550,2315,2235,3015,1530,10020,8470,1550,9370,655
University College Falmouth(#2),1960,200,135,65,170,30,1765,1710,55,1640,125
University of Gloucestershire,8620,1480,530,950,1320,160,7140,5405,1735,6820,325
Goldsmiths College(#3),7270,2570,1575,995,1890,680,4700,3435,1265,4070,630
The University of Greenwich,22275,6180,2265,3915,4145,2040,16095,11570,4520,13990,2105
Harper Adams University College,1745,90,45,45,75,15,1655,1255,400,1575,80
University of Hertfordshire,23030,4490,2360,2130,2725,1760,18540,15335,3200,16425,2115
Homerton College,2765,0,0,0,0,0,2765,960,1810,2740,25
The University of Huddersfield,17935,3465,1035,2425,2925,540,14470,9260,5210,13755,720
The University of Hull,21765,4280,1640,2635,2635,1645,17490,9915,7575,15835,1655
"Imperial College of Science, Technology & Medicine(#3)",12185,4335,3320,1015,2415,1920,7850,7850,0,5525,2325
Institute of Education(#3),6770,6565,1860,4705,5560,1005,210,25,185,75,135
