University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2247440,523825,220395,303435,367275,156550,1723615,1141850,581760,1580110,143500
Total England,1868415,439985,186550,253440,306785,133200,1428430,924990,503440,1307160,121265
Anglia Polytechnic University,24315,4100,705,3395,3230,875,20210,9855,10360,18605,1610
Aston University,7940,2165,645,1520,1280,880,5775,5575,200,5225,550
Bath Spa University College,5825,1790,730,1060,1750,40,4035,3660,375,3825,210
The University of Bath,13855,4355,1330,3020,2540,1810,9505,7515,1985,8405,1100
Birkbeck College,16645,4560,945,3615,4080,480,12085,5,12080,12055,30
"Birmingham College of Food, Tourism and Creative Studies",3265,280,150,130,65,215,2990,2435,555,2425,565
The University of Birmingham,32110,11940,5570,6365,7615,4320,20170,16180,3990,18500,1670
Bishop Grosseteste College,1300,475,240,235,470,0,825,825,5,825,0
Bolton Institute of Higher Education,7105,1355,510,845,1135,220,5750,3270,2480,5360,385
The Arts Institute at Bournemouth,1320,15,0,15,15,0,1305,1160,145,1160,145
Bournemouth University,15880,2510,1515,990,1340,1165,13375,9265,4105,12740,630
The University of Bradford,12395,3915,1160,2760,2070,1845,8480,6790,1690,7195,1280
The University of Brighton,19635,4015,1460,2555,3210,810,15620,11195,4425,13965,1655
The University of Bristol,22705,7850,2695,5150,5445,2405,14860,10940,3920,13715,1140
Brunel University,15120,4940,1915,3030,3005,1940,10175,9110,1070,9375,805
Buckinghamshire Chilterns University College,9360,655,115,535,540,115,8710,5880,2825,7790,920
The University of Cambridge,25470,9200,5380,3825,5325,3875,16270,11910,4355,14820,1450
The Institute of Cancer Research,155,155,95,55,105,50,0,0,0,0,0
Canterbury Christ Church University College,13950,2870,1025,1845,2695,175,11080,5900,5180,10700,375
University of Central England in Birmingham,23380,4015,1430,2585,3210,805,19365,12310,7050,18345,1015
The University of Central Lancashire,27185,2810,850,1960,2355,455,24380,15065,9310,22775,1605
Central School of Speech and Drama,905,425,355,70,325,100,480,480,0,425,55
University College Chester(#2),10775,1230,325,905,1165,65,9550,6175,3375,9415,135
University College Chichester,5080,1830,285,1545,1775,55,3250,2615,635,3140,105
City University,22365,8625,3385,5240,5610,3015,13740,6760,6980,11850,1890
Conservatoire for Dance and Drama(#1),665,40,25,15,30,10,630,620,10,490,140
Coventry University,18465,3005,1395,1605,1730,1270,15460,10640,4820,13850,1615
Courtauld Institute of Art,390,260,210,50,155,105,125,125,0,110,20
Cranfield University,4825,4450,2965,1485,2840,1610,375,375,0,355,20
Cumbria Institute of the Arts,1050,25,0,25,25,0,1025,990,35,915,110
Dartington College of Arts,525,85,20,65,65,15,440,430,10,405,35
De Montfort University,22940,4230,1040,3190,3495,735,18710,14305,4405,17765,945
University of Derby,13830,2565,650,1915,2190,370,11270,8595,2675,10750,520
University of Durham,16185,4870,2405,2470,3215,1655,11310,10950,360,10730,580
The University of East Anglia,15255,3555,2170,1385,2380,1170,11705,7400,4300,11015,685
The University of East London,15180,4335,1570,2760,3160,1175,10845,7930,2915,9455,1395
Edge Hill College of Higher Education,13535,4225,705,3520,4205,20,9310,5375,3935,9115,195
The University of Essex,10515,2900,1875,1030,1015,1885,7615,5930,1680,6235,1375
The University of Exeter,14130,4355,2295,2060,2920,1435,9775,8025,1755,9170,605
Falmouth College of Arts,1840,230,160,70,200,30,1610,1555,55,1515,100
University of Gloucestershire,9450,1485,570,915,1320,160,7965,5990,1975,7605,360
Goldsmiths College,7195,2585,1555,1030,1830,760,4610,3420,1185,4015,595
The University of Greenwich,20305,5420,2000,3420,3645,1775,14890,10695,4195,13140,1750
Harper Adams University College,1495,100,65,40,75,25,1395,1300,95,1310,85
University of Hertfordshire,22860,4415,2250,2165,2740,1675,18445,14850,3595,16070,2380
Homerton College,2415,0,0,0,0,0,2415,885,1535,2365,50
The University of Huddersfield,18700,3660,1095,2565,3115,540,15040,9500,5540,14355,685
The University of Hull,21240,4315,1835,2475,2595,1720,16925,9875,7050,15170,1760
"Imperial College of Science, Technology & Medicine",12045,4615,3270,1345,2720,1895,7425,7425,0,5505,1920
Institute of Education,6685,6520,1745,4775,5640,885,160,5,160,60,105
The University of Keele,11795,3205,1095,2110,2460,745,8590,5390,3200,8215,375
The University of Kent,14600,2235,1145,1090,1295,940,12365,8870,3495,10610,1755
Kent Institute of Art & Design,2095,135,100,35,55,75,1965,1835,130,1580,380
King's College London,21315,6435,3125,3310,4525,1910,14880,12040,2835,13095,1790
Kingston University,19760,4395,1345,3050,3620,775,15365,13550,1820,13710,1660
The University of Lancaster,17670,3305,1665,1640,2055,1245,14370,8170,6195,13120,1250
Leeds Metropolitan University,28580,4325,1510,2815,3300,1025,24260,15295,8960,22055,2205
The University of Leeds,35170,9640,6090,3550,5875,3770,25525,21995,3530,23710,1820
The University of Leicester,16220,6275,2075,4205,4355,1920,9945,8320,1625,8945,1000
The University of Lincoln,13160,1485,445,1040,1135,350,11680,7885,3795,11040,640
Liverpool Hope University College,7910,1855,865,995,1445,410,6050,4840,1210,5475,575
Liverpool John Moores University,22830,3555,1090,2465,2840,715,19275,14215,5060,17515,1760
The University of Liverpool,21660,4685,2035,2650,3110,1580,16970,13315,3655,15705,1265
"University of the Arts, London(#2)",12265,1960,1245,715,1115,840,10305,9790,515,6995,3310
London Business School,1650,1650,945,705,550,1095,0,0,0,0,0
