university,Total HE students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2396050,536810,268000,268815,353430,183380,1859240,1272030,587205,1673655,185585
Total England,2005840,449315,222955,226360,297300,152015,1556525,1044720,511805,1403755,152770
Anglia Ruskin University,19830,2215,800,1415,1650,565,17615,10100,7515,15600,2015
Aston University,10490,2730,1855,875,1185,1545,7760,7235,525,6200,1560
Bath Spa University,8160,2790,710,2080,2740,50,5370,4775,595,5205,165
The University of Bath,13380,4070,1545,2525,2400,1670,9305,8890,415,7295,2010
University of Bedfordshire,17280,4040,2770,1270,1385,2655,13240,8735,4505,10730,2510
Birkbeck College(#11),18285,3635,760,2875,3100,535,14645,220,14425,13575,1070
Birmingham City University,24355,3725,1380,2345,2735,990,20630,14220,6410,19460,1170
The University of Birmingham,29185,10690,5685,5005,6960,3730,18495,16740,1755,16675,1820
University College Birmingham,4295,485,390,90,100,385,3810,2950,860,3180,630
Bishop Grosseteste University College Lincoln,2200,705,45,660,685,20,1495,1455,40,1485,10
The University of Bolton,8170,1380,520,865,1170,210,6785,3705,3080,6305,480
The Arts University College at Bournemouth(#10),2295,20,20,0,15,5,2275,2160,110,2060,215
Bournemouth University,17965,2330,1305,1025,1310,1020,15635,11565,4070,14690,945
The University of Bradford,12740,3255,1440,1815,1790,1465,9485,8130,1350,7650,1835
The University of Brighton,20975,4125,1510,2615,3345,780,16850,13110,3735,15135,1715
The University of Bristol,21000,5790,4050,1735,3385,2405,15210,12465,2740,13640,1570
Brunel University,15090,4255,2645,1610,2000,2255,10830,10185,645,9570,1260
Buckinghamshire New University,9465,700,220,480,495,205,8765,4600,4165,7675,1090
The University of Buckingham,1060,320,285,30,145,175,740,695,45,285,455
The University of Cambridge,22820,7095,5615,1480,3735,3360,15725,11910,3815,13650,2075
The Institute of Cancer Research(#11),290,290,110,180,230,60,0,0,0,0,0
Canterbury Christ Church University,16755,4135,1465,2670,3880,255,12620,7665,4955,11590,1030
The University of Central Lancashire,28130,3535,1270,2265,2680,855,24595,16265,8330,22080,2515
Central School of Speech and Drama(#11),855,315,285,30,220,95,540,540,0,500,40
University of Chester,13485,3215,655,2560,3010,205,10270,7245,3025,10095,175
The University of Chichester,5010,1115,310,805,1100,15,3890,3185,705,3770,120
The City University,21725,7050,4265,2785,3995,3055,14680,8050,6625,12390,2290
Conservatoire for Dance and Drama,1155,90,50,40,65,25,1065,1055,10,805,260
Courtauld Institute of Art(#11),425,260,235,25,140,120,165,165,0,140,25
Coventry University,20115,4070,2160,1910,2025,2045,16045,12055,3990,13965,2080
Cranfield University,5320,5320,3165,2155,2700,2620,0,0,0,0,0
University for the Creative Arts,5285,215,135,80,125,90,5070,4775,295,4515,555
University of Cumbria,13105,2690,1075,1615,2565,125,10415,5205,5210,10220,195
De Montfort University,20910,3820,1055,2765,2905,915,17090,13835,3255,16315,775
University of Derby,17035,2905,640,2265,2480,425,14130,10015,4115,12905,1225
University of Durham,16845,5475,3800,1675,3000,2475,11370,11145,225,10390,980
The University of East Anglia,15290,3080,2200,880,2010,1070,12210,10035,2175,10865,1345
The University of East London,26315,6795,3485,3310,4310,2485,19520,13055,6460,17280,2240
Edge Hill University,24340,10735,640,10100,10645,90,13605,6905,6700,13480,125
The University of Essex,12295,2740,1805,940,1385,1355,9555,7945,1610,7640,1915
The University of Exeter,16195,4710,3275,1435,3075,1635,11485,11065,420,10080,1405
University College Falmouth(#9),3030,320,160,160,280,40,2705,2660,50,2550,155
University of Gloucestershire,9255,2230,635,1595,1965,265,7025,5820,1205,6640,385
Goldsmiths College(#11),7655,2155,1330,825,1460,695,5500,4905,595,4800,700
The University of Greenwich,26120,5570,2795,2775,2625,2945,20550,13700,6850,17940,2610
Guildhall School of Music and Drama,750,250,160,95,125,125,495,495,0,360,135
Harper Adams University College,4440,120,40,80,85,35,4325,1615,2710,4175,150
University of Hertfordshire,25120,5280,2580,2700,3360,1920,19840,15800,4040,17435,2405
Heythrop College(#11),895,465,70,390,400,65,430,415,15,390,40
The University of Huddersfield,21590,3855,1110,2745,3290,565,17735,11790,5945,16915,820
The University of Hull,22370,3325,2025,1300,1945,1380,19045,11585,7460,17355,1690
"Imperial College of Science, Technology and Medicine",14150,5570,4345,1225,3165,2405,8580,8580,0,5605,2975
Institute of Education(#11),7250,6505,1940,4565,5280,1225,750,125,625,670,80
The University of Keele,10365,1935,590,1345,1465,470,8430,6160,2270,7870,560
The University of Kent,18295,2655,1395,1260,1750,905,15640,11920,3715,13535,2105
King's College London(#11),22275,8120,4690,3430,5390,2730,14155,12085,2070,12015,2140
Kingston University,25785,6250,2760,3495,4240,2010,19535,17475,2060,17255,2280
The University of Lancaster,12695,3265,1865,1400,1950,1315,9430,8040,1390,8040,1390
Leeds College of Music,680,40,25,15,35,5,635,635,0,610,25
Leeds Metropolitan University,27800,4140,1515,2620,3150,990,23660,17775,5885,22640,1020
The University of Leeds,32370,8675,6140,2535,4690,3985,23695,22015,1680,21990,1705
Leeds Trinity University College(#10),3445,505,230,275,465,40,2935,2350,585,2845,90
The University of Leicester,16505,6395,2590,3805,4590,1805,10110,8705,1405,8855,1255
The University of Lincoln,11465,1460,490,970,1185,275,10000,8025,1975,9395,605
Liverpool Hope University,6945,1375,685,690,1100,275,5570,4380,1190,5335,235
Liverpool John Moores University,25995,4930,2040,2885,3650,1280,21070,15990,5080,19250,1820
The Liverpool Institute for Performing Arts,920,90,15,70,80,10,835,655,180,665,170
The University of Liverpool,19950,3545,2150,1395,2270,1275,16400,13480,2920,14905,1495
"University of the Arts, London",15815,2900,2045,860,1455,1445,12915,12350,565,8615,4300
London Business School(#11),1780,1780,940,840,490,1290,0,0,0,0,0
University of London (Institutes and activities)(#11),420,420,260,155,265,155,0,0,0,0,0
London Metropolitan University,26380,6875,3175,3700,4320,2555,19505,13310,6195,16250,3255
London South Bank University,24005,5840,1625,4215,4480,1360,18165,9965,8200,16570,1595
London School of Economics and Political Science(#11)(#17),9575,5325,4815,505,950,4375,4250,4200,50,2070,2180
London School of Hygiene and Tropical Medicine(#11),1190,1190,695,495,600,590,0,0,0,0,0
Loughborough University,16130,4010,2325,1690,2135,1875,12120,11810,305,10925,1195
The Manchester Metropolitan University,34330,6610,2810,3800,5570,1040,27720,24245,3475,25760,1960
The University of Manchester,38190,10545,6900,3645,6315,4230,27645,26070,1575,23075,4570
Middlesex University,21350,4895,2440,2455,2600,2295,16450,13120,3335,13940,2510
The University of Newcastle-upon-Tyne,19575,5160,3695,1465,2955,2205,14415,14325,90,12620,1795
Newman University College,2775,175,20,155,170,5,2600,1920,680,2560,40
The University of Northampton,12680,2160,800,1360,1565,595,10520,7100,3420,9945,575
The University of Northumbria at Newcastle,32290,7205,3045,4160,4450,2755,25090,17830,7255,22190,2900
Norwich University College of the Arts,1320,115,20,95,105,10,1205,1190,10,1185,20
The University of Nottingham,32925,8415,6235,2180,4190,4225,24510,21710,2800,20835,3675
The Nottingham Trent University,24905,4660,1975,2685,3375,1285,20245,17840,2405,19075,1170
The Open University,193835,14030,410,13615,13840,190,179805,10,179800,179745,60
Oxford Brookes University,18165,4185,1610,2575,3120,1065,13985,11030,2955,11940,2045
The University of Oxford,23760,7855,6635,1220,3535,4320,15905,11500,4405,14205,1700
University College Plymouth St Mark and St John,4080,1910,235,1675,1860,50,2170,2090,75,2090,80
The University of Plymouth,30930,4090,1145,2945,3500,590,26840,18820,8020,25410,1430
The University of Portsmouth,21375,4115,1620,2490,2715,1400,17265,15055,2210,15560,1705
Queen Mary and Westfield College(#11),14025,3075,2010,1060,1730,1345,10950,10905,50,9160,1790
Ravensbourne College of Design and Communication,1170,30,25,5,20,10,1140,1140,0,1025,115
The University of Reading,15955,5095,2315,2780,3255,1840,10860,9030,1835,9690,1170
Roehampton University,8910,2345,1320,1025,1845,500,6560,6050,515,6205,355
Rose Bruford College,970,40,20,25,25,15,930,635,295,820,110
Royal Academy of Music(#11),715,395,395,0,210,185,320,320,0,195,125
Royal Agricultural College,970,200,180,20,125,75,770,735,35,715,55
Royal College of Art,990,990,945,45,600,390,0,0,0,0,0
Royal College of Music,645,285,245,40,135,150,360,355,5,230,130
Royal Holloway and Bedford New College(#11),8760,1800,1335,470,1010,790,6955,6590,370,5160,1795
Royal Northern College of Music,740,210,200,10,120,90,530,530,0,455,75
The Royal Veterinary College(#11),2005,515,230,285,415,100,1495,1455,40,1370,125
St George's Hospital Medical School(#11),4420,460,100,360,360,100,3960,2405,1555,3765,195
"St Mary's University College, Twickenham",4170,925,415,510,840,85,3245,2650,595,3035,210
The University of Salford,20095,4225,2010,2215,2420,1805,15870,12010,3860,14240,1630
